CUSTOMER_ID,YEAR_MONTH,Churn_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Product_count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Total_Amt_Chng_Last_3M_6M,Total_Ct_Chng_Last_3M_6M,Avg_Utilization_Ratio
768805383,202101,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,,1,3,12691.0,777,11914.0,1144,42,1.335,1.625,0.061
818770008,202105,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,1291,33,1.541,3.714,0.105
713982108,202106,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0,3418.0,1887,20,2.594,2.333,0.0
769911858,202101,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,1171,20,1.405,2.333,0.76
709106358,202106,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0,4716.0,816,28,2.175,2.5,0.0
713061558,202101,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1088,24,1.376,0.846,0.311
810347208,202102,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1330,31,1.975,0.722,0.066
818906208,202102,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0,1396,27685.0,1538,36,2.204,0.714,0.048
710930508,202103,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,1350,24,3.355,1.182,0.113
719661558,202106,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1441,32,1.524,0.882,0.144
708790833,202101,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467,5281.0,1201,42,0.831,0.68,0.217
710821833,202104,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1314,26,1.433,1.364,0.174
710599683,202102,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,,6,0,11751.0,0,11751.0,1539,17,3.397,3.25,0.0
816082233,202105,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1311,33,1.163,2.0,0.195
712396908,202101,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1570,29,1.19,0.611,0.279
714885258,202106,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,,1,2,4234.0,972,3262.0,1348,27,1.707,1.7,0.23
709967358,202103,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362,28005.0,1671,27,1.708,0.929,0.078
753327333,202106,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,1028,21,0.653,1.625,0.095
806160108,202104,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1336,30,1.831,1.143,0.788
709327383,202101,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157,13313.0,1207,21,0.966,0.909,0.08
806165208,202102,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,1178,27,0.906,0.929,0.086
708508758,202105,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,692,16,1.047,0.6,0.0
784725333,202105,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,931,18,1.608,1.571,0.152
811604133,202106,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,1126,23,0.573,0.353,0.626
789124683,202101,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1110,21,1.075,0.75,0.0
771071958,202102,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,1051,22,0.797,0.833,0.215
720466383,202106,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,,1,2,14784.0,1374,13410.0,1197,23,0.921,1.3,0.093
804424383,202102,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,1904,40,0.843,1.0,0.099
718813833,202103,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0,10100.0,1052,18,0.525,1.571,0.0
806624208,202103,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,1045,38,0.739,0.9,0.285
778348233,202101,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,1038,25,0.977,2.571,0.658
712991808,202104,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1596,26,1.323,1.6,0.69
709029408,202102,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,,1,2,8923.0,2517,6406.0,1589,24,1.726,1.667,0.282
788658483,202103,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1411,28,1.75,1.0,0.562
787937058,202101,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,1291,24,0.519,0.714,0.135
715318008,202106,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,1407,43,0.51,0.483,0.544
